FRANJA_HORARIA,TOTAL_MU30DF,TOTAL_HG30DF,TOTAL_HL30DF,TOTAL_VEHICULOS,NUM_ACCIDENTES,TOPSIS_SCORE,MULTIPLICADOR_RIESGO
Madrugada,0.0373335127135746,0.12924346383245885,1.2772321628772592,1.5416386385039689,44598,0.7156046468269107,1.2586688237537462
Mañana,0.017967003620106427,0.0887371169709798,1.1959555696227573,1.7402623093509526,202204,0.2516401054491734,0.8586688237537463
Tarde,0.014786353051880086,0.08426209722785712,1.2548182645724164,1.7828857424372082,293311,0.32531846341581955,0.9221895038021475
Noche,0.01805540584240595,0.09258560597894434,1.2801911537494162,1.7444261794401925,222648,0.36972374979948247,0.9604728486903599
