COD_PROVINCIA,TOTAL_MU30DF,TOTAL_HG30DF,TOTAL_HL30DF,TOTAL_VEHICULOS,NUM_ACCIDENTES,TOPSIS_SCORE,MULTIPLICADOR_RIESGO
1,0.012463146609488072,0.11431251675154114,1.1758241758241759,1.6148485660680783,7462,0.21346140799541644,0.8903937229574995
2,0.025185722051096215,0.12683457148034064,1.1804674759920275,1.642870085160355,5519,0.27671492897226474,0.946807854728831
3,0.022463240022291765,0.11025849873537102,1.2293050970977837,1.7637930295365885,23327,0.2888350573729432,0.9576174746538877
4,0.031985940246045695,0.1060339777387229,1.3735207967193908,1.7670767428236673,8535,0.365105065811979,1.0256406651392866
5,0.0387218045112782,0.13157894736842105,1.2075187969924812,1.412781954887218,2660,0.326757406488569,0.9914394084695624
6,0.036240870883285106,0.12250241146479261,1.2586468237563733,1.6300124018189335,7257,0.3411193081953232,1.0042484063381283
7,0.016531553012239707,0.09728183118741059,1.2223811794627246,1.8166030837704656,25164,0.266738665414304,0.937910290794796
8,0.007938903434575996,0.054105276457746924,1.248506629791595,1.823968328618659,142463,0.3207387119676712,0.9860714950230114
9,0.03955453149001536,0.15149769585253456,1.1833717357910907,1.5827572964669738,5208,0.3624193473643653,1.0232453443403098
10,0.04102976669348351,0.1378385626173237,1.237060874229016,1.5140788415124697,3729,0.36082311261420597,1.0218217050528395
11,0.013891531874405328,0.08235014272121789,1.3392483349191246,1.7751189343482399,21020,0.283708693717717,0.9530454073556966
12,0.03443307880708832,0.16452960668491573,1.1551649618210633,1.6087019161504106,6941,0.3529991377272102,1.014843710098027
13,0.05707584050039093,0.10711493354182955,1.287203544435757,1.5475632004169924,3837,0.4231628870402461,1.0774208905962486
14,0.027999523412367448,0.128916954605028,1.2510425354462051,1.6630525437864887,8393,0.31562432609932245,0.9815101103941294
15,0.02938374734373855,0.1538066974426614,1.2196087052099363,1.6777313695317653,13647,0.34506538737463643,1.0077678093273053
16,0.07139457401237506,0.2298905283198477,1.2284626368396,1.541646834840552,2101,0.5870363951528215,1.2235753107411274
17,0.020260103181427343,0.09399183147033534,1.2305460017196905,1.6799226139294927,18608,0.24797637768878322,0.9211767057590069
18,0.0205425748784695,0.08726673984632272,1.30100360671162,1.7536459150070567,12754,0.28253137147261426,0.9519953849814978
19,0.029048945483485872,0.11062475129327497,1.294866693195384,1.580183048149622,2513,0.3041969299784228,0.9713183199512924
20,0.012899485469961591,0.1034857598376694,1.1443582868323792,1.6651206609174578,13799,0.20302369056505376,0.8810846005969605
21,0.03297101449275362,0.12789855072463768,1.3855072463768117,1.6777173913043477,5520,0.3815556287391778,1.040312484357497
